year,lat,lon,flag,total_effort,total_catch
1982,1.5,147.5,JP,10.72,397.09900000000005
1982,1.5,148.5,JP,9.82,387
1982,1.5,149.5,JP,11.65,484.999
1982,1.5,150.5,JP,12.5,516.999
1982,1.5,151.5,JP,27.69,652.0999999999999
1982,1.5,152.5,JP,21.37,964.999
1982,1.5,153.5,JP,25.71,908.999
1982,1.5,154.5,JP,15.06,696.999
1982,1.5,155.5,JP,3.27,122.001
1982,2.5,151.5,JP,10.68,293.49899999999997
1982,2.5,152.5,JP,9.79,581.002
1982,2.5,153.5,JP,33.77,1035.001
1982,2.5,154.5,JP,11.61,349
1982,2.5,155.5,JP,2.43,59.699000000000005
1982,2.5,157.5,JP,3.35,127
1982,3.5,149.5,JP,42.6,1046.5010000000002
1982,3.5,150.5,JP,16.1,452.999
1982,3.5,151.5,JP,1.79,11.000999999999998
1982,3.5,152.5,JP,6.24,22.5
1982,3.5,153.5,JP,3.54,77
1982,3.5,154.5,JP,14.27,331.5
1982,3.5,155.5,JP,15.78,645.3
1982,4.5,146.5,JP,3.68,88
1982,4.5,147.5,JP,3.54,109.99999999999999
1982,4.5,148.5,JP,10.55,305
1982,4.5,149.5,JP,5.2,150.99899999999997
1982,4.5,150.5,JP,2.65,20
1982,5.5,147.5,JP,3.33,53
1982,5.5,151.5,JP,7,93
1982,0.5,144.5,JP,4.01,72
1982,0.5,145.5,JP,7.51,142
1982,0.5,146.5,JP,10.33,94.60000000000001
1982,0.5,147.5,JP,14.61,370.101
1982,0.5,148.5,JP,57.91,1084.8
1982,0.5,149.5,JP,41.63,1560.3960000000002
1982,0.5,150.5,JP,8.84,195
1982,0.5,151.5,JP,11.88,196
1982,0.5,152.5,JP,8.23,148.001
1982,0.5,153.5,JP,10.24,256.001
1982,0.5,154.5,JP,6.59,110.50099999999999
1982,0.5,155.5,JP,13.03,323.901
1982,0.5,156.5,JP,9.2,120.901
1982,0.5,157.5,JP,4.6,149.1
1982,1.5,145.5,JP,4.18,55
1982,1.5,146.5,JP,6.77,203
1982,1.5,147.5,JP,29.03,760.9989999999999
1982,1.5,148.5,JP,33.68,836.999
1982,1.5,149.5,JP,43.41,1234.399
1982,1.5,150.5,JP,50.77,1062.799
1982,1.5,151.5,JP,66.65,1552.6
1982,1.5,152.5,JP,38.66,1006.1030000000001
1982,1.5,153.5,JP,37.03,594.9
1982,1.5,154.5,JP,32.14,616.001
1982,1.5,155.5,JP,19.46,435.701
1982,1.5,156.5,JP,17.8,307.899
1982,1.5,157.5,JP,12.05,150.998
1982,1.5,158.5,JP,10.16,188
1982,-0.5,143.5,JP,3.31,103.999
